index,grade,sub_grade,loan_status,purpose
0,B,B2,Fully Paid,credit_card
1,C,C4,Charged Off,car
2,C,C5,Fully Paid,small_business
3,C,C1,Fully Paid,other
4,B,B5,Fully Paid,other
5,A,A4,Fully Paid,wedding
6,C,C5,Fully Paid,debt_consolidation
7,E,E1,Fully Paid,car
8,F,F2,Charged Off,small_business
9,B,B5,Charged Off,other
10,C,C3,Fully Paid,debt_consolidation
11,B,B5,Fully Paid,debt_consolidation
12,C,C1,Charged Off,debt_consolidation
13,B,B1,Fully Paid,credit_card
14,B,B2,Charged Off,other
15,D,D1,Fully Paid,debt_consolidation
16,C,C4,Fully Paid,home_improvement
17,A,A1,Fully Paid,major_purchase
18,B,B3,Fully Paid,medical
19,A,A1,Fully Paid,debt_consolidation
20,C,C4,Fully Paid,debt_consolidation
21,B,B4,Charged Off,debt_consolidation
22,B,B3,Fully Paid,credit_card
23,B,B3,Fully Paid,debt_consolidation
24,B,B3,Charged Off,major_purchase
25,B,B1,Fully Paid,credit_card
26,C,C2,Charged Off,debt_consolidation
27,D,D2,Charged Off,other
28,B,B3,Fully Paid,debt_consolidation
29,B,B3,Fully Paid,credit_card
30,A,A3,Fully Paid,debt_consolidation
31,A,A4,Fully Paid,debt_consolidation
32,C,C5,Fully Paid,debt_consolidation
33,A,A5,Fully Paid,debt_consolidation
34,C,C5,Fully Paid,credit_card
35,B,B2,Fully Paid,credit_card
36,B,B1,Fully Paid,moving
37,A,A4,Fully Paid,debt_consolidation
38,B,B4,Fully Paid,debt_consolidation
39,B,B5,Fully Paid,debt_consolidation
40,A,A3,Fully Paid,other
41,A,A4,Fully Paid,debt_consolidation
42,D,D5,Fully Paid,other
43,D,D2,Fully Paid,debt_consolidation
44,A,A1,Fully Paid,debt_consolidation
45,B,B1,Fully Paid,small_business
46,A,A5,Charged Off,debt_consolidation
47,B,B2,Fully Paid,other
48,A,A1,Fully Paid,credit_card
49,B,B1,Charged Off,other
